2018-01-31,167.43
2018-02-01,167.78
2018-02-02,160.50
2018-02-05,156.49
2018-02-06,163.03
2018-02-07,159.54
2018-02-08,155.15
2018-02-09,156.41
2018-02-12,162.71
2018-02-13,164.34
2018-02-14,167.37
2018-02-15,172.99
2018-02-16,172.43
2018-02-20,171.85
2018-02-21,171.07
2018-02-22,172.50
2018-02-23,175.50
2018-02-26,178.97
2018-02-27,178.39
2018-02-28,178.12
2018-03-01,175.00
2018-03-02,176.21
2018-03-05,176.82
2018-03-06,176.67
2018-03-07,175.03
2018-03-08,176.94
2018-03-09,179.98
2018-03-12,181.72
2018-03-13,179.97
2018-03-14,178.44
2018-03-15,178.65
2018-03-16,178.02
2018-03-19,175.30
2018-03-20,175.24
2018-03-21,171.27
2018-03-22,168.85
2018-03-23,164.94
2018-03-26,172.77
2018-03-27,168.34
2018-03-28,166.48
2018-03-29,167.78
2018-04-02,166.68
2018-04-03,168.39
2018-04-04,171.61
2018-04-05,172.80
2018-04-06,168.38
2018-04-09,170.05
2018-04-10,173.25
2018-04-11,172.44
2018-04-12,174.14
2018-04-13,174.73
2018-04-16,175.82
2018-04-17,178.24
2018-04-18,177.84
2018-04-19,172.80
2018-04-20,165.72
2018-04-23,165.24
2018-04-24,162.94
2018-04-25,163.65
2018-04-26,164.22
2018-04-27,162.32
2018-04-30,165.26
2018-05-01,169.10
2018-05-02,176.57
2018-05-03,176.89
2018-05-04,183.83
2018-05-07,185.16
2018-05-08,186.05
2018-05-09,187.36
2018-05-10,190.04
2018-05-11,188.59
2018-05-14,188.15
2018-05-15,186.44
2018-05-16,188.18
2018-05-17,186.99
2018-05-18,186.31
2018-05-21,187.63
2018-05-22,187.16
2018-05-23,188.36
2018-05-24,188.15
2018-05-25,188.58
2018-05-29,187.90
2018-05-30,187.50
2018-05-31,186.87
2018-06-01,190.24
2018-06-04,191.83
2018-06-05,193.31
2018-06-06,193.98
2018-06-07,193.46
2018-06-08,191.70
2018-06-11,191.23
2018-06-12,192.28
2018-06-13,190.70
2018-06-14,190.80
2018-06-15,188.84
2018-06-18,188.74
2018-06-19,185.69
2018-06-20,186.50
2018-06-21,185.46
2018-06-22,184.92
